run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
iredev-library-single_agent-s101,Library,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006885,1,7,0,0,7,6,0.0,0.0,0.0,0.932199,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-library-multi_agent_without_negotiation-s101,Library,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,130.983154,6,27,0,0,27,21,0.0,0.005897,0.697888,0.944195,0.0,1.0,1,0,0.666667,0.4,3.68,3.8,2.333334,5.0,2.600001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-library-multi_agent_with_negotiation-s101,Library,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,144.613008,6,27,6,12,7,6,1.0,0.005867,0.694685,0.913865,0.989591,1.0,1,0,0.333333,0.333333,3.533333,3.8,1.666666,5.0,1.799999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-library-negotiation_integration_verification-s101,Library,101,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,157.76379,6,27,6,12,27,21,1.0,0.005887,0.67301,0.932069,0.992278,1.0,1,1,0.666667,0.333333,3.533333,5.0,4.333334,5.0,4.200001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-library-single_agent-s202,Library,202,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.007268,1,7,0,0,7,6,0.0,0.0,0.0,0.932852,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-library-multi_agent_without_negotiation-s202,Library,202,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,167.946723,6,30,0,0,30,24,0.0,0.008333,0.731194,0.929206,0.0,1.0,1,0,0.833333,0.4,3.68,3.8,2.666666,5.0,2.999999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-library-multi_agent_with_negotiation-s202,Library,202,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,170.381073,6,27,6,12,7,6,1.0,0.005863,0.691575,0.917951,0.987316,1.0,1,0,0.333333,0.333333,3.533333,3.8,1.666666,5.0,1.799999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-library-negotiation_integration_verification-s202,Library,202,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,4,166.850494,6,30,6,12,30,24,1.0,0.008333,0.748762,0.912607,0.971378,1.0,1,1,0.5,0.5,3.9,5.0,4.0,5.0,3.8,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-library-single_agent-s303,Library,303,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006742,1,7,0,0,7,6,0.0,0.0,0.0,0.933134,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-library-multi_agent_without_negotiation-s303,Library,303,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,4,165.977977,6,26,0,0,26,20,0.0,0.005887,0.721771,0.925679,0.0,1.0,1,0,0.5,0.6,4.12,3.8,2.0,5.0,2.2,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-library-multi_agent_with_negotiation-s303,Library,303,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,198.044588,6,30,6,12,7,6,1.0,0.005833,0.689875,0.92749,0.991823,1.0,1,0,0.333333,0.666667,4.266667,3.8,1.666666,5.0,1.799999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-library-negotiation_integration_verification-s303,Library,303,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,230.543039,6,27,6,12,27,21,0.0,0.005879,0.748317,0.933666,1.0,1.0,1,1,0.5,0.4,3.68,5.0,4.0,5.0,3.8,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-rollcall-single_agent-s101,RollCall,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005988,1,6,0,0,6,5,0.0,0.0,0.0,0.928342,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-rollcall-multi_agent_without_negotiation-s101,RollCall,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,4,241.888814,6,30,0,0,30,24,0.0,0.005974,0.645276,0.924088,0.0,1.0,1,0,0.8,0.6,4.12,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-rollcall-multi_agent_with_negotiation-s101,RollCall,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,212.817851,6,27,6,12,7,6,0.0,0.004102,0.648037,0.929347,1.0,1.0,1,0,0.4,1.0,5.0,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-rollcall-negotiation_integration_verification-s101,RollCall,101,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,183.787667,6,27,6,12,27,21,0.0,0.008066,0.72044,0.929091,1.0,1.0,1,1,0.8,0.8,4.56,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-rollcall-single_agent-s202,RollCall,202,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006832,1,6,0,0,6,5,0.0,0.0,0.0,0.926887,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-rollcall-multi_agent_without_negotiation-s202,RollCall,202,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,180.20715,6,30,0,0,30,24,0.0,0.008333,0.743575,0.930687,0.0,1.0,1,0,1.0,0.6,4.12,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-rollcall-multi_agent_with_negotiation-s202,RollCall,202,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,190.124743,6,30,6,12,7,6,1.0,0.004097,0.645143,0.917589,0.991619,1.0,1,0,0.2,0.5,3.9,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-rollcall-negotiation_integration_verification-s202,RollCall,202,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,170.830728,6,28,6,12,28,22,0.0,0.004244,0.645942,0.929277,1.0,1.0,1,1,0.8,0.833333,4.633333,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-rollcall-single_agent-s303,RollCall,303,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006383,1,6,0,0,6,5,0.0,0.0,0.0,0.927323,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-rollcall-multi_agent_without_negotiation-s303,RollCall,303,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,147.048391,6,27,0,0,27,21,0.0,0.004168,0.722243,0.934449,0.0,1.0,1,0,0.8,0.75,4.45,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-rollcall-multi_agent_with_negotiation-s303,RollCall,303,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,134.376738,6,26,6,12,7,6,1.0,0.004109,0.651383,0.909367,0.982075,1.0,1,0,0.4,1.0,5.0,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-rollcall-negotiation_integration_verification-s303,RollCall,303,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,144.844727,6,27,6,12,27,21,0.0,0.005515,0.746164,0.931557,1.0,1.0,1,1,0.8,0.75,4.45,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
