run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-bookkeeping-negotiation_integration_verification-s202,Bookkeeping,202,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,35.307077,5,24,5,10,24,19,0.0,0.006071,0.82932,0.913576,1.0,1.0,1,1,0.8,0.833333,4.633333,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-bookkeeping-single_agent-s303,Bookkeeping,303,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005714,1,6,0,0,6,5,0.0,0.0,0.013149,0.932116,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-bookkeeping-multi_agent_without_negotiation-s303,Bookkeeping,303,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.028898,5,25,0,0,25,20,0.0,0.005879,0.821687,0.886277,0.0,1.0,1,0,0.8,0.833333,4.633333,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-bookkeeping-multi_agent_with_negotiation-s303,Bookkeeping,303,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,26.740923,5,24,5,10,6,5,1.0,0.001666,0.793454,0.872074,0.965037,1.0,1,0,0.0,1.0,5.0,3.8,1.0,5.0,1.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-bookkeeping-negotiation_integration_verification-s303,Bookkeeping,303,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,29.342731,5,25,5,10,25,20,0.0,0.005796,0.822268,0.894671,1.0,1.0,1,1,0.6,0.5,3.9,5.0,4.2,5.0,4.04,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-library-single_agent-s101,Library,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006428,1,7,0,0,7,6,0.0,0.0,0.0,0.932199,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-library-multi_agent_without_negotiation-s101,Library,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,36.757066,5,24,0,0,24,19,0.0,0.003956,0.87266,0.903146,0.0,1.0,1,0,0.5,0.6,4.12,3.8,2.0,5.0,2.2,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-library-multi_agent_with_negotiation-s101,Library,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.574244,5,25,5,10,6,5,0.0,0.093169,0.876991,0.896491,1.0,1.0,1,0,0.333333,1.0,5.0,3.8,1.666666,5.0,1.799999,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-library-negotiation_integration_verification-s101,Library,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,38.324988,5,24,5,10,24,19,1.0,0.003882,0.861904,0.883336,0.957236,1.0,1,1,0.5,0.833333,4.633333,5.0,4.0,5.0,3.8,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-library-single_agent-s202,Library,202,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006093,1,7,0,0,7,6,0.0,0.0,0.0,0.932852,0.0,1.0,1,0,1.0,1.0,5.0,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
